Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
LY2BBF	KO24PR	1717	LY1ZI	59	59	KO24OQ	FM	144	8	8	KO24	ScoredNoLog	
LY2BBF	KO24PR	1718	LY3FI	59	59	KO24PQ	FM	144	0	0		NoWWL KO24PR	
LY2BBF	KO24PR	1726	LY2CG	599	599	KO24PT	CW	144	10	10		ScoredNoLog	
LY2BBF	KO24PR	1732	LY3JE	59	59	KO26TC	SSB	144	155	155	KO26		
LY2BBF	KO24PR	1739	LY2BDA	599	599	KO24MQ	CW	144	17	17		ScoredNoLog	
LY2BBF	KO24PR	1752	LY2J	599	599	KO14QL	CW	144	127	127	KO14	ScoredNoLog	
LY2BBF	KO24PR	1752	LY2WR	599	599	KO24FO	CW	144	56	56		ScoredNoLog	
LY2BBF	KO24PR	1802	LY2VO	599	599	KO15PX	CW	144	188	188	KO15		
LY2BBF	KO24PR	1808	YL2AJ	599	599	KO16OX	CW	144	282	282	KO16		
LY2BBF	KO24PR	1810	YL2FZ	599	599	KO37QI	CW	144	320	320	KO37		
LY2BBF	KO24PR	1813	YL2AO	599	599	KO16DK	CW	144	268	268			
LY2BBF	KO24PR	1815	LY4AA	599	599	KO14WW	CW	144	94	94		ScoredNoLog	
LY2BBF	KO24PR	1835	LY1CR	599	559	KO15CL	CW	144	214	214		ScoredNoLog	
LY2BBF	KO24PR	1839	LY2CH	599	599	KO15OV	CW	144	185	185		ScoredNoLog	
LY2BBF	KO24PR	1840	LY2R	599	599	KO15VS	CW	144	150	150			
LY2BBF	KO24PR	1857	LY3I	599	599	KO25ER	CW	144	126	126	KO25	ScoredNoLog	
LY2BBF	KO24PR	1923	SP2FRY	599	559	JO83WR	CW	144	495	495	JO83	ScoredNoLog	
LY2BBF	KO24PR	2007	YL2II	54	54	KO26OO	SSB	144	0	0		NoRst 55	
LY2BBF	KO24PR	2037	SK1BL	599	599	JO97HK	CW	144	512	512	JO97	ScoredNoLog	
LY2R	KO15VS	1700	OH4LA	559	559	KP20LG	CW	432	506	506	KP20	ScoredNoLog	
LY2R	KO15VS	1701	OH4LA	599	599	KP20LG	CW	144	506	506	KP20	ScoredNoLog	
LY2R	KO15VS	1702	SM6VTZ	559	559	JO58UH	CW	432	0	0		NoWWL JO58UJ	
LY2R	KO15VS	1707	SM4GGC	559	559	JO69RK	CW	144	738	738	JO69	ScoredNoLog	
LY2R	KO15VS	1708	SM0FZH	559	559	JO99HI	CW	432	504	504	JO99	ScoredNoLog	
LY2R	KO15VS	1709	LY3JE	59	59	KO26TC	SSB	1296	121	121	KO26	ScoredNoLog	
LY2R	KO15VS	1712	LY4AA	599	599	KO14WW	CW	144	93	93	KO14	ScoredNoLog	
LY2R	KO15VS	1712	SK1BL	599	599	JO97HK	CW	432	367	367	JO97	ScoredNoLog	
