Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
YL2AJ	KO16OX	1703	ES5GI	55	53	KO38GQ		432	274	274	KO38	ScoredNoLog	
YL2AJ	KO16OX	1706	YL2AO	56	57	KO16DK		50	83	83	KO16		
YL2AJ	KO16OX	1707	YL3ND	57	58	KO17JM		50	66	66	KO17		
YL2AJ	KO16OX	1708	YL2QG	53	55	KO06QR		50	115	115	KO06		
YL2AJ	KO16OX	1708	YL3ES	59	59	KO27FF		432	81	81	KO27		
YL2AJ	KO16OX	1709	YL3EK	59	59	KO27FF		432	81	81			
YL2AJ	KO16OX	1712	YL3OI	57	57	KO26MO		50	120	120	KO26		
YL2AJ	KO16OX	1713	YL2QV	56	56	KO26WM		50	171	171			
YL2AJ	KO16OX	1715	YL2AO	59	59	KO16DK		432	83	83	KO16		
YL2AJ	KO16OX	1716	YL3GEA	55	55	KO37QM		432	258	258	KO37		
YL2AJ	KO16OX	1721	LY3JE	59	59	KO26TC		432	178	178	KO26		
YL2AJ	KO16OX	1725	LY2BDA	559	559	KO24MQ		432	280	280	KO24	ScoredNoLog	
YL2AJ	KO16OX	1730	LY1R	07	02	KO14RV		50	233	233	KO14	ScoredNoLog	
YL2AJ	KO16OX	1732	SK6EI	559	559	JO68VK		432	582	582	JO68	ScoredNoLog	
YL2AJ	KO16OX	1738	YL3NB	59	59	KO16VP		50	52	52			
YL2AJ	KO16OX	1744	SM7EYW	559	559	JO65NK		432	647	647	JO65	ScoredNoLog	
YL2AJ	KO16OX	1748	YL2CI	53	54	KO06TR		50	101	101			
YL2AJ	KO16OX	1748	SK1BL	599	599	JO97HK		432	281	281	JO97	ScoredNoLog	
YL2AJ	KO16OX	1800	YL2QG	54	55	KO06QR		432	115	115	KO06		
YL2AJ	KO16OX	1802	YL2EA	06	01	KO26FX		50	76	76		ScoredNoLog	
YL2AJ	KO16OX	1804	SM7ECM	559	559	JO65PU		432	623	623		ScoredNoLog	
YL2AJ	KO16OX	1808	OH2AP/60	53	54	KP20MJ		50	395	395	KP20	ScoredNoLog	
YL2AJ	KO16OX	1821	SM6VTZ	559	559	JO58UJ		432	701	701	JO58	ScoredNoLog	
YL2AJ	KO16OX	1829	YL2GD	599	599	KO37ML		432	238	238			
YL2AJ	KO16OX	1833	ES2MC	599	599	KO29GG		432	267	267	KO29	ScoredNoLog	
YL2AJ	KO16OX	1834	ES2DF	599	599	KO29GG		432	267	267		ScoredNoLog	
YL2AJ	KO16OX	1836	OH3TR	559	559	KP11VK		432	497	497	KP11	ScoredNoLog	
YL2AJ	KO16OX	1838	ES1OX/2	559	559	KO29TI		432	300	300		ScoredNoLog	
YL2AJ	KO16OX	1839	ES8PW	57	54	KO18VM		144	175	175	KO18	ScoredNoLog	
YL2AJ	KO16OX	1840	ES2IPA	57	53	KO29JM		144	298	298	KO29	ScoredNoLog	
YL2AJ	KO16OX	1842	ES5GI	57	56	KO38GQ		144	274	274	KO38	ScoredNoLog	
YL2AJ	KO16OX	1844	YL2QV	58	59	KO26WM		144	171	171	KO26		
YL2AJ	KO16OX	1844	YL3ANT	599	599	KO36PM		432	255	255	KO36		
YL2AJ	KO16OX	1845	EU6AX	53	56	KO35UD		144	346	346	KO35	ScoredNoLog	
YL2AJ	KO16OX	1846	SM1FMT	59	57	JO96BW		144	309	309	JO96	ScoredNoLog	
YL2AJ	KO16OX	1848	YL3EK	56	56	KO27FF		144	81	81	KO27		
YL2AJ	KO16OX	1850	YL2QG	53	56	KO06QR		144	115	115	KO06		
YL2AJ	KO16OX	1851	YL3ES	54	54	KO27FF		144	81	81			
YL2AJ	KO16OX	1852	YL2IV	53	53	KO06LM		144	147	147			
YL2AJ	KO16OX	1855	YL3ANT	55	54	KO36PM		144	255	255	KO36		
YL2AJ	KO16OX	1856	SM0BHN	599	599	JO89WI		432	410	410	JO89	ScoredNoLog	
YL2AJ	KO16OX	1859	ES2MC	55A	55A	KO29GG	CW	50	267	267	KO29	ScoredNoLog	
YL2AJ	KO16OX	1900	EI8KN	02	05	IO62IE		144	2018	2018	IO62	ScoredNoLog	
YL2AJ	KO16OX	1901	EI3KD	03	04	IO51VW		144	2087	2087	IO51	ScoredNoLog	
YL2AJ	KO16OX	1903	SM6KTO	53	54	JO67FI		144	649	649	JO67	ScoredNoLog	
YL2AJ	KO16OX	1907	YL2GD	55	57	KO37ML		144	238	238	KO37		
YL2AJ	KO16OX	1909	R1DM	55	54	KO49XQ		432	496	496	KO49	ScoredNoLog	
YL2AJ	KO16OX	1912	LY1CR	54	55	KO15CL		432	178	178	KO15	ScoredNoLog	
YL2AJ	KO16OX	1915	SM7MBH	54	53	JO75EM		432	569	569	JO75	ScoredNoLog	
YL2AJ	KO16OX	1917	ES1OX	599	599	KO29HI	CW	144	277	277		ScoredNoLog	
YL2AJ	KO16OX	1918	OH1LEG	55	55	KP10FC		50	351	351	KP10	ScoredNoLog	
YL2AJ	KO16OX	1919	OH4GGW	53	54	KP31MO		50	559	559	KP31	ScoredNoLog	
YL2AJ	KO16OX	1920	YL2GD	54	53	KO37ML		50	238	238	KO37		
YL2AJ	KO16OX	1920	SM6BFE	54	56	JO68DQ		432	673	673		ScoredNoLog	
YL2AJ	KO16OX	1923	ES2MA	55	54	KO29GH		50	271	271		ScoredNoLog	
YL2AJ	KO16OX	1924	OH4JVC	55	55	KP31ST		144	591	591	KP31	ScoredNoLog	
YL2AJ	KO16OX	1928	OH3NE	53	55	KP11UL		432	502	502		ScoredNoLog	
YL2AJ	KO16OX	1929	OH0AZX	53	54	KP00IF		50	390	390	KP00	ScoredNoLog	
YL2AJ	KO16OX	1930	SK1BL	599	599	JO97HK	CW	144	281	281	JO97	ScoredNoLog	
YL2AJ	KO16OX	1932	SK0CT	599	579	JO99BM		432	411	411	JO99	ScoredNoLog	
YL2AJ	KO16OX	1934	UA1AJY	57	54	KO49TW		144	498	498	KO49	ScoredNoLog	
YL2AJ	KO16OX	1937	LY2BDA	599	599	KO24MQ	CW	144	280	280	KO24	ScoredNoLog	
YL2AJ	KO16OX	1938	ES0Z	57	58	KO18KT		50	205	205	KO18	ScoredNoLog	
YL2AJ	KO16OX	1939	SM0BHN	599	559	JO89WI	CW	144	410	410	JO89	ScoredNoLog	
YL2AJ	KO16OX	1942	ES8PW	57	53	KO18VM		432	175	175	KO18	ScoredNoLog	
YL2AJ	KO16OX	1943	OZ6TY	559	559	JO55XE	CW	144	725	725	JO55	ScoredNoLog	
YL2AJ	KO16OX	1945	OH1RI	53	56	KP10HQ		432	414	414	KP10	ScoredNoLog	
YL2AJ	KO16OX	1946	SK6EI	559	559	JO68VK	CW	144	582	582	JO68	ScoredNoLog	
YL2AJ	KO16OX	1949	LY2VO	599	599	KO15PX	CW	144	112	112	KO15		
YL2AJ	KO16OX	1951	SP2FRY	559	569	JO83WR	CW	144	494	494	JO83	ScoredNoLog	
YL2AJ	KO16OX	1954	OH4LA	599	599	KP20LG	CW	144	380	380	KP20	ScoredNoLog	
YL2AJ	KO16OX	1956	OH4LA	559	559	KP20LG		432	380	380	KP20	ScoredNoLog	
YL2AJ	KO16OX	1957	SM0LQB	55	55	JO89WF		144	401	401		ScoredNoLog	
YL2AJ	KO16OX	1958	YL3ND	54	57	KO17JM		144	66	66	KO17		
YL2AJ	KO16OX	1959	SM4DXO	56	56	JP71SB		144	631	631	JP71	ScoredNoLog	
YL2AJ	KO16OX	2000	SM3XGV	56	56	JP81OF		144	584	584	JP81	ScoredNoLog	
YL2AJ	KO16OX	2002	SM4HCM	53	54	JP70RL		144	593	593	JP70	ScoredNoLog	
YL2AJ	KO16OX	2006	SM0WW	54	55	JO99KO		144	387	387	JO99	ScoredNoLog	
YL2AJ	KO16OX	2008	ES1ATE	59	59	KO29JK	SSB	144	289	289		ScoredNoLog	
YL2AJ	KO16OX	2010	LY4AA	599	599	KO14WW	CW	144	231	231	KO14	ScoredNoLog	
YL2AJ	KO16OX	2020	LY2VO	599	599	KO15PX		432	112	112			
YL2AJ	KO16OX	2023	ES2MC	54	53	KO29GG		144	267	267		ScoredNoLog	
YL2AJ	KO16OX	2024	SP2FRY	559	559	JO83WR		432	494	494	JO83	ScoredNoLog	
YL2AJ	KO16OX	2025	ES3TI	55	53	KO29KD		144	261	261		ScoredNoLog	
YL2AJ	KO16OX	2027	SM4UEF	54	56	JP70JX		144	656	656		ScoredNoLog	
YL2AJ	KO16OX	2030	SM5PAO	55	55	JO89TS		144	450	450		ScoredNoLog	
YL2AJ	KO16OX	2031	SA0CAN	55	54	JO99CH		144	392	392		ScoredNoLog	
YL2AJ	KO16OX	2032	YL2AO	58	59	KO16DK		144	83	83	KO16		
YL2AJ	KO16OX	2035	YL3OO	55	55	KO27DD		50	69	69	KO27	ScoredNoLog	
YL2AJ	KO16OX	2037	YL3GGT	54	54	KO07UL		144	107	107	KO07	ScoredNoLog	
YL2AJ	KO16OX	2038	LY2R	599	599	KO15VS	CW	144	140	140			
YL2AJ	KO16OX	2039	LY2CH	599	599	KO15OV	CW	144	121	121		ScoredNoLog	
YL2AJ	KO16OX	2044	SM6BFE	53	55	JO68DQ		144	673	673		ScoredNoLog	
YL2AJ	KO16OX	2049	YL3NF	59	56	KO17QA		144	12	12		ScoredNoLog	
YL2AJ	KO16OX	2050	R1DM	53	53	KO49XQ		144	496	496		ScoredNoLog	
YL2AJ	KO16OX	2054	OZ9FW	54	53	JO65CO		144	696	696	JO65	ScoredNoLog	
YL2AO	KO16DK	1705	YL2QG	57	58	KO06QR		50	65	65	KO06		
YL2AO	KO16DK	1706	YL2AJ	57	56	KO16OX		50	83	83	KO16		
YL2AO	KO16DK	1707	ES5GI	55	55	KO38GQ		432	357	357	KO38	ScoredNoLog	
YL2AO	KO16DK	1708	YL3OI	53	55	KO26MO		50	170	170	KO26		
YL2AO	KO16DK	1709	YL3ES	57	57	KO27FF		432	159	159	KO27		
YL2AO	KO16DK	1711	YL3EK	57	58	KO27FF		432	159	159			
YL2AO	KO16DK	1712	YL3ND	58	59	KO17JM		50	125	125	KO17		
YL2AO	KO16DK	1712	R1DM	53	55	KO49XQ		432	578	578	KO49	ScoredNoLog	
YL2AO	KO16DK	1713	LY3JE	59	59	KO26TC	SSB	432	210	210	KO26		
YL2AO	KO16DK	1714	YL2AJ	59	59	KO16OX	SSB	432	83	83	KO16		
YL2AO	KO16DK	1716	YL2QG	55	57	KO06QR		432	65	65	KO06		
YL2AO	KO16DK	1719	YL2QG	58	55	KO06QR		144	65	65	KO06		
YL2AO	KO16DK	1721	SM0LQB	59	57	JO89WF		144	406	406	JO89	ScoredNoLog	
YL2AO	KO16DK	1721	SM6VTZ	559	559	JO58UJ	CW	432	670	670	JO58	ScoredNoLog	
YL2AO	KO16DK	1723	SM5CUI	56	56	JO89WW		144	468	468		ScoredNoLog	
YL2AO	KO16DK	1724	YL2QV	56	56	KO26WM		144	221	221	KO26		
YL2AO	KO16DK	1726	YL3ES	55	56	KO27FF		144	159	159	KO27		
YL2AO	KO16DK	1727	OH2MDN	54	54	KO19LT		50	378	378	KO19	ScoredNoLog	
YL2AO	KO16DK	1727	SK6EI	559	559	JO68VK	CW	432	555	555	JO68	ScoredNoLog	
YL2AO	KO16DK	1728	ES5GI	56	55	KO38GQ		144	357	357	KO38	ScoredNoLog	
YL2AO	KO16DK	1729	YL3EK	55	55	KO27FF		144	159	159			
YL2AO	KO16DK	1730	R1DM	55	55	KO49XQ		144	578	578	KO49	ScoredNoLog	
YL2AO	KO16DK	1731	LY2BDA	559	559	KO24MQ	CW	432	261	261	KO24	ScoredNoLog	
YL2AO	KO16DK	1734	LY1CR	59	59	KO15CL		144	107	107	KO15	ScoredNoLog	
YL2AO	KO16DK	1735	SM6BFE	559	559	JO68DQ	CW	432	647	647		ScoredNoLog	
YL2AO	KO16DK	1737	SK1BL	599	599	JO97HK	CW	432	249	249	JO97	ScoredNoLog	
YL2AO	KO16DK	1737	SP3TLJ	06	13	JO82TM		144	530	530	JO82	ScoredNoLog	
YL2AO	KO16DK	1740	YL2IV	56	56	KO06LM		50	83	83			
YL2AO	KO16DK	1741	ES8PW	56	55	KO18VM		432	249	249	KO18	ScoredNoLog	
YL2AO	KO16DK	1742	LY2VO	58	58	KO15PX		144	81	81			
YL2AO	KO16DK	1743	DL4WK	55	53	JO63SQ		50	635	635	JO63	ScoredNoLog	
YL2AO	KO16DK	1743	EU6AX	53	55	KO35UD		144	368	368	KO35	ScoredNoLog	
YL2AO	KO16DK	1745	YL2CI	59	56	KO06TR		50	53	53			
